,export_MWh,import_MWh,balance_MWh,betweenness,balance_rank,betweenness_rank
AL,7900,9159,-1259,0.0116144018583042,21.0,24.0
AM,268,530,-262,0.0,26.0,35.5
AT,68953,56039,12914,0.0586527293844367,37.0,19.0
AZ,4827,85,4742,0.0,32.0,35.5
BA,20094,11630,8464,0.0,34.0,35.5
BE,45944,85889,-39945,0.0592334494773519,5.0,18.0
BG,27239,17220,10019,0.0116144018583042,35.0,24.0
BY,1461,1960,-499,0.0,25.0,35.5
CH,111518,88409,23109,0.0139372822299651,39.0,22.0
CZ,63495,51520,11975,0.0,36.0,35.5
DE,160470,220873,-60403,0.0955284552845528,3.0,11.0
DK,68422,81290,-12868,0.0,12.0,35.5
EE,8315,18683,-10368,0.0,13.0,35.5
ES,84817,48993,35824,0.0429732868757259,40.0,20.0
FI,19363,33088,-13725,0.1817653890824622,10.0,3.0
FR,375979,34260,341719,0.0836236933797909,43.0,15.0
GB,28572,164432,-135860,0.0386178861788617,2.0,21.0
GE,7575,9112,-1537,0.1678281068524971,20.0,5.0
GR,23101,19903,3198,0.087253193960511,29.0,14.0
HR,20400,38731,-18331,0.0,8.0,35.5
HU,44513,71016,-26503,0.1504065040650406,6.0,6.0
IE,431,10157,-9726,0.0,14.0,35.5
IT,7168,207108,-199940,0.1193379790940766,1.0,9.0
LT,7608,33347,-25739,0.0,7.0,35.5
LU,299,13880,-13581,0.0733159117305458,11.0,16.0
LV,6309,10648,-4339,0.0,17.0,35.5
MD,9577,10531,-954,0.0,24.0,35.5
ME,22587,21046,1541,0.0638792102206736,27.0,17.0
MK,11797,12987,-1190,0.0092915214866434,22.0,27.0
MT,57,3173,-3116,0.0,19.0,35.5
NL,69742,46813,22929,0.0929152148664343,38.0,12.0
NO,104968,47182,57786,0.1117886178861788,41.0,10.0
PL,51407,48368,3039,0.1290650406504065,28.0,7.0
PT,8050,60317,-52267,0.0,4.0,35.5
RO,22244,31746,-9502,0.0116144018583042,15.0,24.0
RS,17822,27077,-9255,0.1736353077816492,16.0,4.0
RU,6973,3214,3759,0.6544715447154471,30.0,1.0
SE,140109,19163,120946,0.0910278745644599,42.0,13.0
SI,37901,34056,3845,0.0,31.0,35.5
SK,58934,53401,5533,0.0,33.0,35.5
TR,5592,9434,-3842,0.1203542392566782,18.0,8.0
UA,14198,29567,-15369,0.5795586527293844,9.0,2.0
XK,8595,9557,-962,0.0104529616724738,23.0,26.0
