country,betweenness_2019
AL,0.24893314366998578
GR,0.052631578947368425
ME,0.22546230440967285
RS,0.33214793741109533
AT,0.19559032716927455
CH,0.05547652916073969
CZ,0.15078236130867712
DE,0.07681365576102418
HU,0.22759601706970128
IT,0.24822190611664297
SI,0.0
BA,0.0
HR,0.005689900426742532
BE,0.04836415362731152
FR,0.10241820768136559
GB,0.052631578947368425
LU,0.024893314366998577
NL,0.17780938833570414
BG,0.034139402560455195
MK,0.0021337126600284497
RO,0.2652916073968706
TR,0.0
BY,0.10099573257467995
LT,0.2524893314366999
UA,0.387624466571835
PL,0.34992887624466573
SK,0.14793741109530584
DK,0.001422475106685633
SE,0.03556187766714083
NO,0.205547652916074
EE,0.11024182076813656
FI,0.2411095305832148
LV,0.13157894736842105
RU,0.1842105263157895
ES,0.052631578947368425
PT,0.0
IE,0.0
MT,0.0
MD,0.0
