,export_MWh,import_MWh,balance_MWh
AL,7900,9159,-1259
AM,268,530,-262
AT,68953,56039,12914
AZ,4827,85,4742
BA,20094,11630,8464
BE,45944,85889,-39945
BG,27239,17220,10019
BY,1461,1960,-499
CH,111518,88409,23109
CZ,63495,51520,11975
DE,160470,220873,-60403
DK,68422,81290,-12868
EE,8315,18683,-10368
ES,84817,48993,35824
FI,19363,33088,-13725
FR,375979,34260,341719
GB,28572,164432,-135860
GE,7575,9112,-1537
GR,23101,19903,3198
HR,20400,38731,-18331
HU,44513,71016,-26503
IE,431,10157,-9726
IT,7168,207108,-199940
LT,7608,33347,-25739
LU,299,13880,-13581
LV,6309,10648,-4339
MD,9577,10531,-954
ME,22587,21046,1541
MK,11797,12987,-1190
MT,57,3173,-3116
NL,69742,46813,22929
NO,104968,47182,57786
PL,51407,48368,3039
PT,8050,60317,-52267
RO,22244,31746,-9502
RS,17822,27077,-9255
RU,6973,3214,3759
SE,140109,19163,120946
SI,37901,34056,3845
SK,58934,53401,5533
TR,5592,9434,-3842
UA,14198,29567,-15369
XK,8595,9557,-962
