from,to,total_GWh
AL,GR,1576
AL,ME,8
AL,RS,732
AT,CH,20347
AT,CZ,6
AT,DE,868
AT,HU,20099
AT,IT,4331
AT,SI,21089
BA,HR,8944
BA,ME,10926
BA,RS,2138
BE,FR,13457
BE,GB,21871
BE,LU,755
BE,NL,12383
BG,GR,7541
BG,MK,7896
BG,RO,1936
BG,RS,4510
BG,TR,7477
BY,LT,10899
BY,UA,1167
CH,AT,938
CH,DE,10447
CH,FR,7784
CH,IT,81983
CZ,AT,34048
CZ,DE,8315
CZ,PL,717
CZ,SK,36301
DE,AT,52115
DE,CH,53963
DE,CZ,19289
DE,DK,26578
DE,FR,6598
DE,LU,15710
DE,NL,28234
DE,PL,35937
DE,SE,1774
DK,DE,7460
DK,NL,3176
DK,NO,11883
DK,SE,10841
EE,FI,1518
EE,LV,9537
EE,RU,686
ES,FR,7220
ES,PT,25110
FI,EE,11688
FI,NO,305
FI,RU,0
FI,SE,69
FR,BE,17086
FR,CH,33102
FR,DE,48924
FR,ES,50583
FR,GB,44045
FR,IT,56482
GB,BE,489
GB,FR,2451
GB,IE,2973
GB,NL,347
GR,AL,2771
GR,BG,58
GR,IT,387
GR,MK,763
GR,TR,2
HR,BA,978
HR,HU,938
HR,RS,924
HR,SI,6753
HU,AT,236
HU,HR,17809
HU,RO,6386
HU,RS,2875
HU,SK,173
HU,UA,3
IE,GB,5095
IT,AT,1
IT,CH,121
IT,FR,1352
IT,GR,11632
IT,ME,1
IT,MT,1871
IT,SI,370
LT,BY,630
LT,LV,223
LT,PL,6930
LT,RU,1
LT,SE,1512
LU,BE,437
LV,EE,495
LV,LT,10350
LV,RU,106
MD,UA,40
ME,AL,6948
ME,BA,410
ME,IT,13
ME,RS,2270
MK,BG,8
MK,GR,10391
MK,RS,552
MT,IT,17
NL,BE,23460
NL,DE,12904
NL,DK,3357
NL,GB,22977
NL,NO,5768
NO,DK,13620
NO,FI,745
NO,NL,7639
NO,SE,19074
PL,CZ,12429
PL,DE,5
PL,LT,2008
PL,SE,879
PL,SK,13299
PT,ES,13257
RO,BG,7039
RO,HU,576
RO,RS,4083
RO,UA,163
RS,AL,1006
RS,BA,2094
RS,BG,225
RS,HR,1846
RS,HU,1987
RS,ME,2201
RS,MK,8253
RS,RO,1454
RU,EE,6586
RU,FI,25341
RU,LT,10090
RU,LV,3968
RU,UA,3908
SE,DE,3569
SE,DK,16724
SE,FI,56074
SE,LT,13901
SE,NO,20158
SE,PL,10889
SI,AT,1191
SI,HR,5133
SI,IT,19463
SK,CZ,239
SK,HU,31651
SK,PL,25
SK,UA,10579
TR,BG,101
TR,GR,9025
UA,BY,3840
UA,HU,13944
UA,MD,2148
UA,PL,5177
UA,RO,8116
UA,RU,2001
UA,SK,254
