Paese,Betweenness,Degree,Strength_GWh,Community
RU,0.6544715447154471,12,10187,0
UA,0.5795586527293844,14,43765,2
FI,0.1817653890824622,8,52451,0
RS,0.1736353077816492,16,44899,2
GE,0.1678281068524971,8,16687,2
HU,0.1504065040650406,14,115529,2
PL,0.1290650406504065,12,99775,3
TR,0.1203542392566782,6,15026,2
IT,0.1193379790940766,14,214276,1
NO,0.1117886178861788,12,152150,0
DE,0.0955284552845528,22,381343,3
NL,0.0929152148664343,10,116555,0
SE,0.0910278745644599,12,159272,0
GR,0.087253193960511,10,43004,2
FR,0.0836236933797909,12,410239,1
LU,0.0733159117305458,4,14179,3
ME,0.0638792102206736,10,43633,2
BE,0.0592334494773519,10,131833,0
AT,0.0586527293844367,12,124992,3
ES,0.0429732868757259,4,133810,1
GB,0.0386178861788617,12,193004,0
CH,0.0139372822299651,8,199927,1
AL,0.0116144018583042,6,17059,2
RO,0.0116144018583042,10,53990,2
BG,0.0116144018583042,10,44459,2
XK,0.0104529616724738,8,18152,2
MK,0.0092915214866434,8,24784,2
CZ,0.0,8,115015,3
AM,0.0,2,798,2
BY,0.0,4,3421,0
HR,0.0,8,59131,2
BA,0.0,6,31724,2
AZ,0.0,2,4912,2
SI,0.0,8,71957,2
SK,0.0,8,112335,2
EE,0.0,6,26998,0
DK,0.0,10,149712,0
LT,0.0,10,40955,0
LV,0.0,6,16957,0
PT,0.0,2,68367,1
IE,0.0,2,10588,0
MT,0.0,2,3230,1
MD,0.0,4,20108,2
